-5.00000e-03 0.00000e+00 -5.00000e-03
5.00000e-03 7.76390e-03 5.00000e-03
0.00000e+00 3.88195e-03 0.00000e+00 5.00000e-04
3.92115e-03 1.92869e-03 -3.76968e-03 4.99900e-04
-4.98622e-04 2.52877e-03 -1.90606e-03 4.99800e-04
-2.99716e-03 7.50960e-04 1.84618e-03 4.99700e-04
4.45331e-03 2.24333e-03 -1.92038e-05 4.99600e-04
-1.49920e-03 5.09238e-03 -2.22609e-03 4.99500e-04
3.98835e-03 2.20857e-03 -2.08902e-03 4.99400e-04
-7.42120e-04 6.11400e-03 3.88115e-03 4.99300e-04
-3.87940e-03 4.35266e-03 -2.31913e-03 4.99200e-04
3.68654e-03 3.63664e-03 1.63290e-03 4.99100e-04
-3.45430e-03 3.69543e-03 -3.58161e-03 4.99000e-04
-4.10103e-03 6.35240e-03 1.28055e-03 4.98900e-04
-1.33343e-03 1.44467e-03 -3.00207e-03 4.98800e-04
1.17537e-03 6.62084e-03 -3.13443e-03 4.98700e-04
3.53692e-03 1.73101e-03 1.91428e-03 4.98600e-04
2.15671e-03 9.89783e-04 3.50940e-03 4.98500e-04
2.65960e-03 5.93115e-03 -4.08890e-03 4.98400e-04
-3.62093e-04 6.98221e-03 -3.79750e-03 4.98300e-04
-1.18420e-03 2.31110e-03 6.56665e-04 4.98200e-04
4.03714e-03 6.66936e-03 2.81058e-04 4.98100e-04
1.62349e-03 4.27836e-03 2.03089e-03 4.98000e-04
2.68581e-03 1.02184e-03 -4.09266e-03 4.97900e-04
3.04411e-03 1.11017e-03 2.83510e-03 4.97800e-04
-3.82795e-03 4.27197e-03 -1.05816e-03 4.97700e-04
-2.57161e-03 4.43058e-03 3.75143e-03 4.97600e-04
2.96741e-03 6.93100e-03 -1.78163e-03 4.97500e-04
2.17231e-03 2.61311e-03 2.85114e-03 4.97400e-04
3.43388e-03 3.64212e-03 5.29993e-05 4.97300e-04
4.31267e-03 1.44353e-03 6.63010e-04 4.97200e-04
1.87251e-03 1.03206e-03 -2.08104e-03 4.97100e-04
2.02103e-03 8.93097e-04 -4.74011e-04 4.97000e-04
-4.16273e-04 3.22837e-03 3.74110e-03 4.96900e-04
-2.21893e-03 5.90040e-03 2.18541e-03 4.96800e-04
-4.39945e-04 2.67173e-03 -7.85603e-04 4.96700e-04
2.67755e-03 3.61493e-03 2.34843e-03 4.96600e-04
-2.31670e-05 2.21480e-03 1.45451e-03 4.96500e-04
-2.07692e-05 6.43069e-03 -9.59972e-04 4.96400e-04
4.50626e-04 3.95080e-03 -3.25843e-03 4.96300e-04
-4.27194e-03 1.77390e-03 -4.45155e-03 4.96200e-04
2.86131e-03 3.15626e-03 3.71380e-03 4.96100e-04
1.00401e-03 6.27858e-03 8.63603e-04 4.96000e-04
-2.48355e-03 6.82022e-03 3.61389e-03 4.95900e-04
-1.77050e-03 2.75695e-03 -7.57541e-04 4.95800e-04
1.68147e-03 5.50564e-03 -2.55435e-03 4.95700e-04
-2.99988e-03 1.99925e-03 -3.98488e-03 4.95600e-04
-4.04137e-04 3.60061e-03 -1.94816e-03 4.95500e-04
-2.13175e-03 3.44225e-03 2.18430e-03 4.95400e-04
7.66169e-04 3.11373e-03 8.66436e-05 4.95300e-04
2.10412e-03 2.32571e-03 1.79020e-04 4.95200e-04
-2.60355e-03 1.55509e-03 5.00485e-04 4.95100e-04
3.84653e-03 2.90130e-03 -1.34536e-03 4.95000e-04
-2.48059e-03 6.16134e-03 7.91315e-05 4.94900e-04
-4.00834e-03 5.45268e-03 -8.30461e-05 4.94800e-04
3.62015e-03 2.86378e-03 2.80982e-03 4.94700e-04
4.06360e-03 8.01000e-04 1.71754e-03 4.94600e-04
-1.37589e-03 3.52407e-03 3.24742e-03 4.94500e-04
3.27104e-03 1.29329e-03 -1.09094e-03 4.94400e-04
1.05451e-03 4.74908e-03 -2.10121e-03 4.94300e-04
3.38070e-03 3.12149e-03 -4.45470e-03 4.94200e-04
-4.02206e-03 5.68466e-04 -2.08669e-03 4.94100e-04
4.49419e-03 8.68748e-04 -1.31670e-03 4.94000e-04
4.36372e-03 6.95429e-03 -2.34007e-03 4.93900e-04
1.00185e-03 7.25092e-03 -2.14992e-03 4.93800e-04
-4.01418e-03 8.10214e-04 -1.00217e-04 4.93700e-04
9.91631e-04 7.15514e-03 1.42416e-03 4.93600e-04
1.82403e-03 2.89214e-03 -1.67974e-03 4.93500e-04
-3.36341e-03 6.10439e-03 2.72897e-03 4.93400e-04
2.54046e-03 3.24083e-03 -3.55721e-03 4.93300e-04
-8.76028e-04 6.09179e-03 1.83308e-03 4.93200e-04
4.57651e-04 1.01873e-03 -2.72770e-03 4.93100e-04
3.90602e-03 4.21576e-03 -9.65735e-04 4.93000e-04
-4.29551e-03 2.20453e-03 1.18425e-03 4.92900e-04
2.29975e-03 2.62176e-03 -2.62364e-03 4.92800e-04
3.67822e-03 4.19856e-03 -2.21810e-03 4.92700e-04
-4.14364e-03 5.40390e-03 2.68997e-03 4.92600e-04
3.79795e-03 4.90802e-03 3.39819e-03 4.92500e-04
2.02338e-03 6.49137e-03 -1.90709e-03 4.92400e-04
-2.36902e-03 3.74126e-03 -1.86349e-03 4.92300e-04
-7.21115e-04 4.73047e-03 9.53231e-04 4.92200e-04
2.17330e-03 2.56505e-03 1.41735e-03 4.92100e-04
-2.43521e-03 1.10214e-03 -2.46057e-03 4.92000e-04
3.42317e-03 5.19124e-03 -2.79847e-04 4.91900e-04
-4.26895e-03 2.66438e-03 3.35730e-03 4.91800e-04
1.14310e-03 3.89478e-03 3.44008e-03 4.91700e-04
-5.82359e-04 1.62973e-03 -5.71445e-04 4.91600e-04
1.33566e-03 3.57382e-03 -4.03072e-03 4.91500e-04
-4.42784e-03 6.24933e-03 3.42457e-03 4.91400e-04
1.07050e-03 4.73869e-03 7.95111e-04 4.91300e-04
3.52792e-03 5.36524e-03 -1.94925e-03 4.91200e-04
-4.93399e-04 2.62537e-03 2.35317e-03 4.91100e-04
3.17943e-04 8.16783e-04 2.11626e-03 4.91000e-04
3.73721e-03 3.30846e-03 -3.16616e-03 4.90900e-04
-1.36240e-04 6.56065e-03 6.10545e-04 4.90800e-04
3.31601e-03 1.37605e-03 3.15022e-04 4.90700e-04
-4.32301e-03 6.41108e-03 -4.03751e-03 4.90600e-04
-3.61334e-03 1.24547e-03 2.45633e-03 4.90500e-04
3.13167e-03 5.32749e-03 4.35774e-03 4.90400e-04
1.67088e-04 5.82253e-03 2.73816e-03 4.90300e-04
-3.82388e-03 3.25243e-03 -2.24914e-03 4.90200e-04
-2.79779e-04 7.06451e-03 1.98023e-03 4.90100e-04
-2.22050e-04 6.05219e-03 -2.38356e-03 4.90000e-04
-1.87088e-03 7.12785e-03 4.32286e-03 4.89900e-04
2.61559e-03 4.13232e-03 -2.79860e-03 4.89800e-04
-1.30978e-03 1.08289e-03 1.03618e-03 4.89700e-04
3.78191e-03 7.22501e-03 3.42422e-03 4.89600e-04
-3.37266e-03 2.66459e-03 1.35483e-03 4.89500e-04
3.05549e-03 6.26883e-03 2.34220e-03 4.89400e-04
-2.56499e-03 5.53664e-03 -1.40816e-03 4.89300e-04
-3.70806e-03 5.75786e-03 4.20327e-03 4.89200e-04
-2.54631e-03 6.79628e-03 -2.26855e-03 4.89100e-04
5.60720e-04 6.33979e-03 4.26126e-03 4.89000e-04
2.50437e-03 5.34998e-03 -6.45092e-04 4.88900e-04
-7.64072e-04 6.77396e-04 -3.92613e-03 4.88800e-04
-3.65365e-03 4.32714e-03 1.95852e-04 4.88700e-04
-4.36634e-03 7.10742e-03 -2.28971e-03 4.88600e-04
-1.95036e-03 5.39238e-04 3.19237e-03 4.88500e-04
9.88251e-04 9.35001e-04 -3.82844e-03 4.88400e-04
-1.42719e-03 6.06938e-03 6.63669e-04 4.88300e-04
-4.18214e-03 4.97738e-03 -3.42000e-03 4.88200e-04
2.09169e-03 3.81393e-03 1.01345e-04 4.88100e-04
1.59295e-04 8.59195e-04 4.64396e-04 4.88000e-04
4.20139e-03 2.25797e-03 1.34053e-03 4.87900e-04
-1.99452e-03 2.86829e-03 -2.67575e-03 4.87800e-04
-3.65455e-03 3.46570e-03 1.91811e-03 4.87700e-04
-2.16052e-03 5.79274e-03 4.24490e-03 4.87600e-04
3.69544e-03 3.19246e-03 4.43167e-03 4.87500e-04
2.58390e-03 3.54286e-03 -1.44069e-03 4.87400e-04
3.06893e-04 5.37859e-03 5.69207e-05 4.87300e-04
1.31768e-03 1.33659e-03 1.01474e-03 4.87200e-04
-3.06494e-03 4.76376e-03 -3.67716e-03 4.87100e-04
-2.90461e-03 4.74288e-03 2.34429e-03 4.87000e-04
4.00069e-03 4.72753e-03 -3.60430e-03 4.86900e-04
3.25558e-04 9.58228e-04 4.36124e-03 4.86800e-04
-1.07206e-03 6.73638e-03 -3.01171e-03 4.86700e-04
